Entity,Code,Year,Renewables (% growth)
European Union (27),,2020,7.581532001495361
European Union (27),,2021,1.9800305366516113
Finland,FIN,1966,10.982715606689453
Finland,FIN,1967,12.02685832977295
Finland,FIN,1968,-9.806304931640625
Finland,FIN,1969,-16.621721267700195
Finland,FIN,1970,8.90505313873291
Finland,FIN,1971,12.14338493347168
Finland,FIN,1972,-2.818232774734497
Finland,FIN,1973,1.9268155097961426
Finland,FIN,1974,20.06875228881836
Finland,FIN,1975,-3.8883566856384277
Finland,FIN,1976,-22.338050842285156
Finland,FIN,1977,28.475547790527344
Finland,FIN,1978,-19.560527801513672
Finland,FIN,1979,10.937023162841797
Finland,FIN,1980,-6.011897087097168
Finland,FIN,1981,33.643104553222656
Finland,FIN,1982,-4.1426239013671875
Finland,FIN,1983,3.7582874298095703
Finland,FIN,1984,-2.454441785812378
Finland,FIN,1985,-6.892871856689453
Finland,FIN,1986,0.4504203796386719
Finland,FIN,1987,11.348438262939453
Finland,FIN,1988,-3.1410157680511475
Finland,FIN,1989,-2.486962080001831
Finland,FIN,1990,22.921966552734375
Finland,FIN,1991,13.616538047790527
Finland,FIN,1992,10.237348556518555
Finland,FIN,1993,-3.111708164215088
Finland,FIN,1994,-6.091732025146484
Finland,FIN,1995,7.033836841583252
Finland,FIN,1996,-9.283828735351562
Finland,FIN,1997,11.848616600036621
Finland,FIN,1998,22.500896453857422
Finland,FIN,1999,-13.1627197265625
Finland,FIN,2000,10.331940650939941
Finland,FIN,2001,-7.877874374389648
Finland,FIN,2002,-7.920229434967041
Finland,FIN,2003,-3.820580244064331
Finland,FIN,2004,34.66403579711914
Finland,FIN,2005,-9.181242942810059
Finland,FIN,2006,-3.7329256534576416
Finland,FIN,2007,8.589625358581543
Finland,FIN,2008,17.828548431396484
Finland,FIN,2009,-18.963878631591797
Finland,FIN,2010,10.456562042236328
Finland,FIN,2011,2.439999580383301
Finland,FIN,2012,16.554033279418945
Finland,FIN,2013,-8.768218994140625
Finland,FIN,2014,12.059391021728516
Finland,FIN,2015,13.546586036682129
Finland,FIN,2016,-9.32267951965332
Finland,FIN,2017,10.427427291870117
Finland,FIN,2018,1.1404991149902344
Finland,FIN,2019,0.9276032447814941
Finland,FIN,2020,9.460592269897461
Finland,FIN,2021,6.839597225189209
France,FRA,1966,12.195480346679688
France,FRA,1967,-12.577951431274414
France,FRA,1968,11.669516563415527
France,FRA,1969,5.181217193603516
France,FRA,1970,7.4851155281066895
France,FRA,1971,-13.441777229309082
France,FRA,1972,0.1952528953552246
France,FRA,1973,-2.18546986579895
France,FRA,1974,17.384029388427734
France,FRA,1975,6.429076194763184
France,FRA,1976,-18.89722442626953
France,FRA,1977,55.714237213134766
France,FRA,1978,-10.192513465881348
France,FRA,1979,-2.687191963195801
France,FRA,1980,4.5574188232421875
France,FRA,1981,3.7882089614868164
France,FRA,1982,-2.151137590408325
France,FRA,1983,-1.5262901782989502
France,FRA,1984,-5.196082592010498
France,FRA,1985,-4.7642412185668945
France,FRA,1986,0.8862853050231934
France,FRA,1987,12.624168395996094
France,FRA,1988,8.30935287475586
France,FRA,1989,-38.28949737548828
France,FRA,1990,14.574742317199707
France,FRA,1991,7.037055492401123
France,FRA,1992,19.19442367553711
France,FRA,1993,-5.521643161773682
France,FRA,1994,22.036373138427734
France,FRA,1995,-5.921238899230957
France,FRA,1996,-7.915949821472168
France,FRA,1997,-1.718837022781372
France,FRA,1998,-3.0996978282928467
France,FRA,1999,15.903854370117188
France,FRA,2000,-6.893128395080566
France,FRA,2001,11.480855941772461
France,FRA,2002,-16.39695167541504
France,FRA,2003,-2.15185284614563
France,FRA,2004,1.8128037452697754
France,FRA,2005,-7.254636287689209
France,FRA,2006,11.76755428314209
France,FRA,2007,16.586517333984375
France,FRA,2008,21.864164352416992
France,FRA,2009,-2.347773313522339
France,FRA,2010,8.181214332580566
France,FRA,2011,-13.38823413848877
France,FRA,2012,24.519014358520508
France,FRA,2013,13.827157020568848
France,FRA,2014,-2.1400630474090576
France,FRA,2015,-1.5895843505859375
France,FRA,2016,5.783689022064209
France,FRA,2017,-4.417532920837402
France,FRA,2018,15.92259407043457
France,FRA,2019,0.739753246307373
France,FRA,2020,5.42985200881958
France,FRA,2021,0.16540288925170898
Germany,DEU,1966,8.153045654296875
Germany,DEU,1967,-5.028444290161133
Germany,DEU,1968,1.4813542366027832
Germany,DEU,1969,-18.85031509399414
Germany,DEU,1970,34.5661506652832
Germany,DEU,1971,-21.662235260009766
Germany,DEU,1972,-1.6018867492675781
Germany,DEU,1973,14.46729850769043
Germany,DEU,1974,14.935088157653809
Germany,DEU,1975,-2.8349757194519043
Germany,DEU,1976,-16.824371337890625
Germany,DEU,1977,24.49153709411621
Germany,DEU,1978,4.519450664520264
Germany,DEU,1979,0.7485032081604004
Germany,DEU,1980,6.094682216644287
Germany,DEU,1981,3.24934720993042
Germany,DEU,1982,-0.8384585380554199
Germany,DEU,1983,-5.964446067810059
Germany,DEU,1984,-0.6425797939300537
Germany,DEU,1985,-5.354499816894531
Germany,DEU,1986,5.901229381561279
Germany,DEU,1987,8.043551445007324
Germany,DEU,1988,-0.3007948398590088
Germany,DEU,1989,-7.853883743286133
Germany,DEU,1990,-5.87940788269043
Germany,DEU,1991,-7.324039936065674
Germany,DEU,1992,17.543066024780273
Germany,DEU,1993,3.663766384124756
Germany,DEU,1994,9.513605117797852
Germany,DEU,1995,9.303474426269531
Germany,DEU,1996,-7.4827728271484375
Germany,DEU,1997,6.730437278747559
Germany,DEU,1998,8.351850509643555
Germany,DEU,1999,11.959171295166016
Germany,DEU,2000,32.319522857666016
Germany,DEU,2001,5.518507957458496
Germany,DEU,2002,21.492660522460938
Germany,DEU,2003,5.828619003295898
Germany,DEU,2004,25.532604217529297
Germany,DEU,2005,21.25510025024414
Germany,DEU,2006,25.174640655517578
Germany,DEU,2007,20.338308334350586
Germany,DEU,2008,0.4029989242553711
Germany,DEU,2009,1.1900901794433594
Germany,DEU,2010,7.346987724304199
Germany,DEU,2011,14.836931228637695
Germany,DEU,2012,13.430333137512207
Germany,DEU,2013,2.724766731262207
Germany,DEU,2014,5.782663822174072
Germany,DEU,2015,12.457990646362305
Germany,DEU,2016,0.4945993423461914
Germany,DEU,2017,12.377405166625977
Germany,DEU,2018,3.4882068634033203
Germany,DEU,2019,6.946122646331787
Germany,DEU,2020,6.215560436248779
Germany,DEU,2021,-6.267589569091797
Greece,GRC,1966,115.98002624511719
Greece,GRC,1967,-4.046243667602539
Greece,GRC,1968,-17.590354919433594
Greece,GRC,1969,50.21929931640625
Greece,GRC,1970,28.272497177124023
Greece,GRC,1971,0.6069779396057129
Greece,GRC,1972,0.942683219909668
Greece,GRC,1973,-16.959280014038086
Greece,GRC,1974,5.578041076660156
Greece,GRC,1975,-14.145708084106445
Greece,GRC,1976,-6.749385833740234
Greece,GRC,1977,2.2884607315063477
Greece,GRC,1978,55.463050842285156
Greece,GRC,1979,19.344043731689453
Greece,GRC,1980,-4.514861106872559
Greece,GRC,1981,0.05873441696166992
Greece,GRC,1982,4.520106315612793
Greece,GRC,1983,-34.28812789916992
Greece,GRC,1984,22.307693481445312
Greece,GRC,1985,-1.9916117191314697
Greece,GRC,1986,15.329766273498535
Greece,GRC,1987,-14.034003257751465
Greece,GRC,1988,-14.886731147766113
Greece,GRC,1989,-19.687360763549805
Greece,GRC,1990,-6.838506698608398
Greece,GRC,1991,75.09881591796875
Greece,GRC,1992,-28.668176651000977
Greece,GRC,1993,5.3345441818237305
Greece,GRC,1994,13.17596435546875
Greece,GRC,1995,35.15359115600586
Greece,GRC,1996,23.007858276367188
Greece,GRC,1997,-10.6067476272583
Greece,GRC,1998,-3.291654586791992
Greece,GRC,1999,25.461746215820312
Greece,GRC,2000,-12.849635124206543
Greece,GRC,2001,-29.24710464477539
Greece,GRC,2002,21.998632431030273
Greece,GRC,2003,64.71903228759766
Greece,GRC,2004,0.4243016242980957
Greece,GRC,2005,8.264339447021484
Greece,GRC,2006,19.87197494506836
Greece,GRC,2007,-40.174503326416016
Greece,GRC,2008,25.163257598876953
Greece,GRC,2009,42.347835540771484
Greece,GRC,2010,28.552209854125977
Greece,GRC,2011,-22.609758377075195
Greece,GRC,2012,24.659215927124023
Greece,GRC,2013,41.35551452636719
Greece,GRC,2014,-15.136945724487305
Greece,GRC,2015,21.951210021972656
Greece,GRC,2016,0.28957128524780273
